03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  769
03:59:41  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  770
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceTheme.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceImages.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceSkins.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceTemplates.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Gui successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'DejaVuSansFontGenerated_15'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'DejaVuSansFont_15'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using texture size 128 x 256.  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  769
03:59:41  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DejaVuSansFont_15' using real height 15 pixels.  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  770
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PanelEmpty'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'RotatingSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TextBoxSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ImageBox'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'Canvas'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'EditClientSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceTheme.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceImages.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MultiListButtonImage'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Info  |  Load ini file 'MyGUI_OnePieceSkins.xml'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
03:59:41  |  Core  |  Warning  |  duplicate resource name 'CheckBoxSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'RadioButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonCloseSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonDownSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonUpSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonLeftSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonRightSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderTrackVSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollTrackVSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SliderTrackHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollTrackHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ButtonEmptySkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'EditBoxSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuBarSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuItemSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollPanelHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ScrollPanelVSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ListBoxItemSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SepDownHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SepUpHSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SepDownVSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'SepUpVSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ClientDefaultSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'ClientTileSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'PanelSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WhiteSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'CaptionEmptySkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'CaptionSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'CaptionWithButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowFrameSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowResizeLeftDownSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'WindowResizeRightDownSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TabHeaderButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TabHeaderEmptySkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'TabPanelSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuItemNormalSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
03:59:41  |  Core  |  Warning  |  duplicate resource name 'MenuItemPopupButtonSkin'  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  92
